,Số phòng ngủ,Diện tích,Giá/m2
53953,3 phòng,35 m²,100 triệu/m²
53954,4 phòng,30 m²,"66,67 triệu/m²"
53955,4 phòng,53 m²,"107,55 triệu/m²"
53956,4 phòng,33 m²,"86,36 triệu/m²"
53957,4 phòng,71 m²,"61,27 triệu/m²"
53958,5 phòng,41 m²,"75,61 triệu/m²"
53959,4 phòng,200 m²,175 triệu/m²
53960,4 phòng,43 m²,"66,28 triệu/m²"
53961,4 phòng,56 m²,"81,25 triệu/m²"
53962,3 phòng,31 m²,"159,68 triệu/m²"
53963,3 phòng,30 m²,"103,33 triệu/m²"
53964,2 phòng,27 m²,"103,7 triệu/m²"
53965,2 phòng,48 m²,"260,42 triệu/m²"
53966,2 phòng,39 m²,"105,13 triệu/m²"
53967,3 phòng,39 m²,"82,05 triệu/m²"
53968,4 phòng,50 m²,"69,6 triệu/m²"
53969,3 phòng,36 m²,"97,22 triệu/m²"
53970,3 phòng,33 m²,"93,94 triệu/m²"
53971,4 phòng,40 m²,"96,25 triệu/m²"
53972,4 phòng,45 m²,100 triệu/m²
53973,4 phòng,35 m²,"131,43 triệu/m²"
53974,3 phòng,35 m²,90 triệu/m²
53975,4 phòng,45 m²,"91,11 triệu/m²"
53976,4 phòng,35 m²,"171,43 triệu/m²"
53977,4 phòng,43 m²,"83,72 triệu/m²"
53978,3 phòng,51 m²,"107,84 triệu/m²"
53979,2 phòng,45 m²,"71,11 triệu/m²"
53980,4 phòng,33 m²,"90,91 triệu/m²"
53981,3 phòng,24 m²,"124,17 triệu/m²"
53982,6 phòng,42 m²,"77,38 triệu/m²"
53983,4 phòng,45 m²,100 triệu/m²
53984,4 phòng,51 m²,"68,63 triệu/m²"
53985,2 phòng,20 m²,145 triệu/m²
53986,3 phòng,37 m²,"154,05 triệu/m²"
53987,6 phòng,80 m²,125 triệu/m²
53988,3 phòng,49 m²,"91,84 triệu/m²"
53989,4 phòng,45 m²,75.555 đ/m²
53990,3 phòng,35 m²,"91,43 triệu/m²"
53991,3 phòng,40 m²,75 triệu/m²
53992,4 phòng,45 m²,"124,44 triệu/m²"
53993,3 phòng,34 m²,"91,18 triệu/m²"
53994,3 phòng,141 m²,258.865 đ/m²
53995,5 phòng,45 m²,"91,11 triệu/m²"
53996,2 phòng,47 m²,"97,87 triệu/m²"
53997,4 phòng,49 m²,"78,57 triệu/m²"
53998,3 phòng,35 m²,"94,29 triệu/m²"
53999,4 phòng,43 m²,"93,02 triệu/m²"
54000,5 phòng,45 m²,"83,33 triệu/m²"
54001,6 phòng,52 m²,125 triệu/m²
54002,4 phòng,45 m²,"66,67 triệu/m²"
54003,4 phòng,45 m²,"284,44 triệu/m²"
54004,3 phòng,42 m²,"92,86 triệu/m²"
54005,3 phòng,19 m²,"136,84 triệu/m²"
54006,4 phòng,39 m²,"84,62 triệu/m²"
54007,4 phòng,46 m²,"60,87 triệu/m²"
54008,6 phòng,35 m²,"108,57 triệu/m²"
54009,4 phòng,43 m²,"74,42 triệu/m²"
54010,5 phòng,40 m²,"232,5 triệu/m²"
54011,2 phòng,42 m²,"28,57 triệu/m²"
54012,3 phòng,35 m²,"94,29 triệu/m²"
54013,4 phòng,38 m²,"110,53 triệu/m²"
54014,6 phòng,45 m²,100 triệu/m²
54015,4 phòng,36 m²,"116,67 triệu/m²"
54016,6 phòng,52 m²,"86,54 triệu/m²"
54017,5 phòng,50 m²,116 triệu/m²
54018,5 phòng,46 m²,"86,96 triệu/m²"
54019,3 phòng,35 m²,"91,43 triệu/m²"
54020,4 phòng,50 m²,60 triệu/m²
54021,3 phòng,30 m²,95 triệu/m²
54022,3 phòng,35 m²,"102,86 triệu/m²"
54023,4 phòng,35 m²,"91,43 triệu/m²"
54024,3 phòng,35 m²,"91,43 triệu/m²"
54025,3 phòng,20 m²,"92,5 triệu/m²"
54026,3 phòng,33 m²,"103,03 triệu/m²"
54027,4 phòng,35 m²,"62,86 triệu/m²"
54028,3 phòng,31 m²,"112,9 triệu/m²"
54029,3 phòng,30 m²,"81,67 triệu/m²"
54030,8 phòng,52 m²,125 triệu/m²
54031,3 phòng,35 m²,120 triệu/m²
54032,3 phòng,35 m²,"68,57 triệu/m²"
54033,4 phòng,36 m²,"86,11 triệu/m²"
54034,5 phòng,35 m²,"131,43 triệu/m²"
54035,4 phòng,40 m²,80 triệu/m²
54036,3 phòng,35 m²,"97,14 triệu/m²"
54037,3 phòng,49 m²,"91,84 triệu/m²"
54038,4 phòng,50 m²,150 triệu/m²
54039,3 phòng,35 m²,"71,43 triệu/m²"
54040,4 phòng,55 m²,"61,82 triệu/m²"
54041,4 phòng,50 m²,70 triệu/m²
54042,3 phòng,20 m²,170 triệu/m²
54043,2 phòng,20 m²,"107,5 triệu/m²"
54044,2 phòng,40 m²,"112,5 triệu/m²"
54045,3 phòng,33 m²,"103,03 triệu/m²"
54046,3 phòng,35 m²,"114,29 triệu/m²"
54047,6 phòng,51 m²,"107,84 triệu/m²"
54048,5 phòng,50 m²,"89,6 triệu/m²"
54049,4 phòng,50 m²,86 triệu/m²
54050,3 phòng,37 m²,"102,7 triệu/m²"
54051,3 phòng,30 m²,"86,67 triệu/m²"
54052,4 phòng,35 m²,"91,43 triệu/m²"
54053,3 phòng,25 m²,88 triệu/m²
54054,4 phòng,54 m²,"70,37 triệu/m²"
54055,4 phòng,57 m²,"86,84 triệu/m²"
54056,4 phòng,39 m²,"53,85 triệu/m²"
54057,5 phòng,35 m²,"88,57 triệu/m²"
54058,4 phòng,75 m²,72 triệu/m²
54059,4 phòng,78 m²,"80,77 triệu/m²"
54060,3 phòng,26 m²,"115,38 triệu/m²"
54061,4 phòng,35 m²,"88,57 triệu/m²"
54062,4 phòng,68 m²,"55,88 triệu/m²"
54063,4 phòng,40 m²,65 triệu/m²
54064,4 phòng,40 m²,"87,5 triệu/m²"
54065,6 phòng,53 m²,"90,57 triệu/m²"
54066,1 phòng,18 m²,"97,22 triệu/m²"
54067,8 phòng,86 m²,"395,35 triệu/m²"
54068,4 phòng,34 m²,"92,65 triệu/m²"
54069,2 phòng,40 m²,65 triệu/m²
54070,3 phòng,25 m²,84 triệu/m²
54071,5 phòng,52 m²,"91,35 triệu/m²"
54072,4 phòng,58 m²,"81,03 triệu/m²"
54073,1 phòng,45 m²,"102,22 triệu/m²"
54074,3 phòng,40 m²,"108,75 triệu/m²"
54075,4 phòng,30 m²,140 triệu/m²
54076,4 phòng,66 m²,"44,92 triệu/m²"
54077,4 phòng,30 m²,140 triệu/m²
54078,4 phòng,66 m²,"44,92 triệu/m²"
54079,5 phòng,54 m²,"148,15 triệu/m²"
54080,3 phòng,40 m²,"107,48 triệu/m²"
54081,3 phòng,30 m²,70 triệu/m²
54082,2 phòng,20 m²,85 triệu/m²
54083,2 phòng,20 m²,79 triệu/m²
54084,3 phòng,42 m²,"69,05 triệu/m²"
54085,3 phòng,33 m²,100 triệu/m²
54086,4 phòng,43 m²,"78,6 triệu/m²"
54087,4 phòng,40 m²,"73,75 triệu/m²"
54088,6 phòng,45 m²,"108,89 triệu/m²"
54089,3 phòng,32 m²,"82,81 triệu/m²"
54090,3 phòng,50 m²,61 triệu/m²
54091,3 phòng,50 m²,61 triệu/m²
54092,3 phòng,36 m²,"134,72 triệu/m²"
54093,3 phòng,30 m²,"156,67 triệu/m²"
54094,4 phòng,64 m²,"82,81 triệu/m²"
54095,7 phòng,55 m²,"90,91 triệu/m²"
54096,5 phòng,34 m²,"164,71 triệu/m²"
54097,4 phòng,47 m²,"72,34 triệu/m²"
54098,4 phòng,45 m²,100 triệu/m²
54099,4 phòng,50 m²,112 triệu/m²
54100,2 phòng,31 m²,"35,81 triệu/m²"
54101,5 phòng,50 m²,"89,6 triệu/m²"
54102,4 phòng,190 m²,"115,79 triệu/m²"
54103,5 phòng,41 m²,"79,27 triệu/m²"
54104,3 phòng,32 m²,"60,94 triệu/m²"
54105,3 phòng,32 m²,"92,19 triệu/m²"
54106,4 phòng,30 m²,"98,33 triệu/m²"
54107,4 phòng,39 m²,"66,67 triệu/m²"
54108,3 phòng,83 m²,"78,31 triệu/m²"
54109,5 phòng,50 m²,112 triệu/m²
54110,3 phòng,35 m²,"94,29 triệu/m²"
54111,3 phòng,32 m²,"82,81 triệu/m²"
54112,4 phòng,40 m²,70 triệu/m²
54113,3 phòng,37 m²,"75,68 triệu/m²"
54114,6 phòng,43 m²,"75,58 triệu/m²"
54115,5 phòng,46 m²,"86,96 triệu/m²"
54116,3 phòng,70 m²,"81,43 triệu/m²"
54117,5 phòng,46 m²,"86,96 triệu/m²"
54118,3 phòng,70 m²,"81,43 triệu/m²"
54119,3 phòng,39 m²,"71,79 triệu/m²"
54120,2 phòng,28 m²,"81,07 triệu/m²"
54121,6 phòng,118 m²,"88,98 triệu/m²"
54122,4 phòng,42 m²,"83,33 triệu/m²"
54123,2 phòng,32 m²,"268,75 triệu/m²"
54124,3 phòng,30 m²,"83,33 triệu/m²"
54125,3 phòng,30 m²,100 triệu/m²
54126,4 phòng,46 m²,"82,61 triệu/m²"
54127,3 phòng,30 m²,"66,67 triệu/m²"
54128,2 phòng,30 m²,60 triệu/m²
54129,4 phòng,99 m²,"114,14 triệu/m²"
54130,6 phòng,46 m²,"86,96 triệu/m²"
54131,2 phòng,45 m²,"113,33 triệu/m²"
54132,3 phòng,42 m²,"78,57 triệu/m²"
54133,4 phòng,50 m²,316 triệu/m²
54134,4 phòng,45 m²,"88,89 triệu/m²"
54135,2 phòng,35 m²,"74,29 triệu/m²"
54136,3 phòng,32 m²,"118,75 triệu/m²"
54137,4 phòng,39 m²,"105,13 triệu/m²"
54138,5 phòng,80 m²,"91,25 triệu/m²"
54139,4 phòng,45 m²,"93,33 triệu/m²"
54140,4 phòng,50 m²,74 triệu/m²
54141,3 phòng,36 m²,"88,89 triệu/m²"
54142,6 phòng,46 m²,"86,96 triệu/m²"
54143,4 phòng,35 m²,"91,43 triệu/m²"
54144,4 phòng,36 m²,"97,22 triệu/m²"
54145,4 phòng,35 m²,"92,06 triệu/m²"
54146,3 phòng,34 m²,"120,59 triệu/m²"
54147,3 phòng,33 m²,"96,97 triệu/m²"
54148,4 phòng,40 m²,100 triệu/m²
54149,4 phòng,50 m²,110 triệu/m²
54150,3 phòng,38 m²,"86,84 triệu/m²"
54151,5 phòng,62 m²,"125,81 triệu/m²"
54152,4 phòng,35 m²,"131,43 triệu/m²"
54153,6 phòng,51 m²,"68,63 triệu/m²"
54154,4 phòng,30 m²,"83,33 triệu/m²"
54155,2 phòng,40 m²,"112,5 triệu/m²"
54156,3 phòng,35 m²,"114,29 triệu/m²"
54157,3 phòng,36 m²,"97,22 triệu/m²"
54158,4 phòng,49 m²,"78,57 triệu/m²"
54159,5 phòng,50 m²,96 triệu/m²
54160,6 phòng,45 m²,"68,89 triệu/m²"
54161,1 phòng,45 m²,"233,33 triệu/m²"
54162,4 phòng,28 m²,"107,14 triệu/m²"
54163,4 phòng,45 m²,"235,56 triệu/m²"
54164,4 phòng,51 m²,"68,63 triệu/m²"
54165,3 phòng,30 m²,"106,67 triệu/m²"
54166,3 phòng,40 m²,"39,5 triệu/m²"
54167,2 phòng,28 m²,50 triệu/m²
54168,2 phòng,78 m²,"39,74 triệu/m²"
54169,3 phòng,39 m²,"51,28 triệu/m²"
54170,3 phòng,33 m²,"96,97 triệu/m²"
54171,4 phòng,35 m²,"91,43 triệu/m²"
54172,3 phòng,30 m²,"89,67 triệu/m²"
54173,3 phòng,40 m²,"92,5 triệu/m²"
54174,4 phòng,55 m²,"83,64 triệu/m²"
54175,4 phòng,42 m²,"83,33 triệu/m²"
54176,5 phòng,36 m²,"86,11 triệu/m²"
54177,4 phòng,50 m²,100 triệu/m²
54178,5 phòng,46 m²,"86,96 triệu/m²"
54179,4 phòng,45 m²,"126,67 triệu/m²"
54180,4 phòng,32 m²,"145,31 triệu/m²"
54181,4 phòng,35 m²,"91,43 triệu/m²"
54182,3 phòng,30 m²,150 triệu/m²
54183,4 phòng,36 m²,"94,44 triệu/m²"
54184,2 phòng,11 m²,90 triệu/m²
54185,5 phòng,45 m²,"68,89 triệu/m²"
54186,4 phòng,42 m²,"161,9 triệu/m²"
54187,5 phòng,50 m²,132 triệu/m²
54188,3 phòng,35 m²,"85,71 triệu/m²"
54189,5 phòng,46 m²,"86,96 triệu/m²"
54190,1 phòng,20 m²,70 triệu/m²
54191,5 phòng,36 m²,"86,11 triệu/m²"
54192,3 phòng,30 m²,"88,33 triệu/m²"
54193,4 phòng,40 m²,135 triệu/m²
54194,3 phòng,32 m²,"63,13 triệu/m²"
54195,5 phòng,35 m²,"85,71 triệu/m²"
54196,3 phòng,80 m²,"13,13 triệu/m²"
54197,4 phòng,85 m²,"74,71 triệu/m²"
54198,8 phòng,46 m²,"86,96 triệu/m²"
54199,3 phòng,40 m²,"107,5 triệu/m²"
54200,3 phòng,30 m²,"68,33 triệu/m²"
54201,4 phòng,36 m²,100 triệu/m²
54202,3 phòng,34 m²,"77,94 triệu/m²"
54203,3 phòng,38 m²,100 triệu/m²
54204,6 phòng,41 m²,"82,93 triệu/m²"
54205,5 phòng,30 m²,"141,67 triệu/m²"
54206,5 phòng,50 m²,"89,6 triệu/m²"
54207,3 phòng,30 m²,"59,33 triệu/m²"
54208,2 phòng,35 m²,"88,57 triệu/m²"
54209,5 phòng,50 m²,124 triệu/m²
54210,6 phòng,45 m²,"84,44 triệu/m²"
54211,3 phòng,31 m²,"70,97 triệu/m²"
54212,3 phòng,30 m²,133 triệu/m²
54213,4 phòng,46 m²,"121,74 triệu/m²"
54214,3 phòng,31 m²,"83,87 triệu/m²"
54215,3 phòng,33 m²,"112,12 triệu/m²"
54216,5 phòng,30 m²,"166,67 triệu/m²"
54217,3 phòng,37 m²,100 triệu/m²
54218,3 phòng,42 m²,"64,29 triệu/m²"
54219,3 phòng,37 m²,"77,84 triệu/m²"
54220,4 phòng,43 m²,"76,74 triệu/m²"
54221,3 phòng,33 m²,"59,09 triệu/m²"
54222,5 phòng,40 m²,90 triệu/m²
54223,4 phòng,30 m²,100 triệu/m²
54224,7 phòng,64 m²,"190,63 triệu/m²"
54225,4 phòng,47 m²,"72,34 triệu/m²"
54226,4 phòng,30 m²,140 triệu/m²
54227,3 phòng,30 m²,"96,67 triệu/m²"
54228,4 phòng,57 m²,"71,93 triệu/m²"
54229,4 phòng,45 m²,"126,67 triệu/m²"
54230,4 phòng,42 m²,"94,05 triệu/m²"
54231,5 phòng,52 m²,"82,69 triệu/m²"
54232,5 phòng,40 m²,145 triệu/m²
54233,6 phòng,50 m²,93 triệu/m²
54234,5 phòng,30 m²,"83,33 triệu/m²"
54235,2 phòng,58 m²,"55,17 triệu/m²"
54236,3 phòng,30 m²,"78,33 triệu/m²"
54237,3 phòng,36 m²,"77,22 triệu/m²"
54238,4 phòng,42 m²,"90,48 triệu/m²"
54239,3 phòng,135 m²,"159,26 triệu/m²"
54240,3 phòng,25 m²,112 triệu/m²
54241,6 phòng,64 m²,"195,31 triệu/m²"
54242,4 phòng,55 m²,"76,36 triệu/m²"
54243,4 phòng,30 m²,"93,33 triệu/m²"
54244,3 phòng,30 m²,108.333 đ/m²
54245,3 phòng,19 m²,"568,42 triệu/m²"
54246,4 phòng,34 m²,"91,18 triệu/m²"
54247,3 phòng,33 m²,"54,12 triệu/m²"
54248,4 phòng,41 m²,"75,61 triệu/m²"
54249,4 phòng,54 m²,"181,48 triệu/m²"
54250,3 phòng,33 m²,"121,21 triệu/m²"
54251,4 phòng,50 m²,60 triệu/m²
54252,3 phòng,59 m²,"38,98 triệu/m²"
54253,4 phòng,60 m²,"78,33 triệu/m²"
54254,6 phòng,45 m²,"126,67 triệu/m²"
54255,4 phòng,49 m²,"78,57 triệu/m²"
54256,3 phòng,30 m²,75 triệu/m²
54257,5 phòng,53 m²,"79,25 triệu/m²"
54258,3 phòng,40 m²,270 triệu/m²
54259,3 phòng,34 m²,"76,47 triệu/m²"
54260,6 phòng,50 m²,130 triệu/m²
54261,6 phòng,35 m²,"185,71 triệu/m²"
54262,2 phòng,32 m²,"75,63 triệu/m²"
54263,4 phòng,45 m²,"173,33 triệu/m²"
54264,5 phòng,70 m²,"95,71 triệu/m²"
54265,3 phòng,31 m²,"130,65 triệu/m²"
54266,4 phòng,45 m²,"77,78 triệu/m²"
54267,4 phòng,52 m²,"138,46 triệu/m²"
54268,4 phòng,53 m²,"75,47 triệu/m²"
54269,5 phòng,40 m²,"73,75 triệu/m²"
54270,4 phòng,50 m²,70 triệu/m²
54271,3 phòng,34 m²,"88,24 triệu/m²"
54272,4 phòng,40 m²,"82,5 triệu/m²"
54273,4 phòng,50 m²,60 triệu/m²
54274,5 phòng,80 m²,95 triệu/m²
54275,6 phòng,83 m²,"86,75 triệu/m²"
54276,3 phòng,35 m²,"79,43 triệu/m²"
54277,3 phòng,30 m²,"96,67 triệu/m²"
54278,3 phòng,36 m²,"72,22 triệu/m²"
54279,8 phòng,69 m²,"113,04 triệu/m²"
54280,6 phòng,96 m²,"138,54 triệu/m²"
54281,6 phòng,55 m²,100 triệu/m²
54282,3 phòng,35 m²,"77,14 triệu/m²"
54283,2 phòng,51 m²,"64,71 triệu/m²"
54284,5 phòng,40 m²,150 triệu/m²
54285,3 phòng,37 m²,"108,11 triệu/m²"
54286,4 phòng,44 m²,"95,45 triệu/m²"
54287,4 phòng,38 m²,"128,95 triệu/m²"
54288,4 phòng,32 m²,"240,63 triệu/m²"
54289,2 phòng,35 m²,"71,43 triệu/m²"
54290,3 phòng,37 m²,"77,84 triệu/m²"
54291,3 phòng,38 m²,"84,21 triệu/m²"
54292,4 phòng,40 m²,"112,5 triệu/m²"
54293,3 phòng,30 m²,125 triệu/m²
54294,6 phòng,70 m²,"55,71 triệu/m²"
54295,3 phòng,55 m²,"58,18 triệu/m²"
54296,6 phòng,40 m²,"162,5 triệu/m²"
54297,4 phòng,59 m²,"76,27 triệu/m²"
54298,3 phòng,32 m²,"92,19 triệu/m²"
54299,4 phòng,30 m²,"106,67 triệu/m²"
54300,8 phòng,78 m²,"185,9 triệu/m²"
54301,2 phòng,45 m²,100 triệu/m²
54302,4 phòng,43 m²,"97,67 triệu/m²"
54303,3 phòng,38 m²,75 triệu/m²
54304,3 phòng,36 m²,"68,06 triệu/m²"
54305,4 phòng,35 m²,"114,29 triệu/m²"
54306,4 phòng,40 m²,70 triệu/m²
54307,6 phòng,45 m²,"97,78 triệu/m²"
54308,3 phòng,40 m²,"92,5 triệu/m²"
54309,6 phòng,42 m²,"116,67 triệu/m²"
54310,4 phòng,35 m²,"88,57 triệu/m²"
54311,4 phòng,36 m²,"58,33 triệu/m²"
54312,4 phòng,45 m²,"111,11 triệu/m²"
54313,3 phòng,30 m²,"133,33 triệu/m²"
54314,6 phòng,54 m²,"222,22 triệu/m²"
54315,4 phòng,35 m²,80 triệu/m²
54316,6 phòng,51 m²,"121,57 triệu/m²"
54317,4 phòng,35 m²,"105,71 triệu/m²"
54318,3 phòng,40 m²,"92,5 triệu/m²"
54319,3 phòng,32 m²,703.125 đ/m²
54320,3 phòng,55 m²,60 triệu/m²
54321,4 phòng,42 m²,"123,81 triệu/m²"
54322,4 phòng,38 m²,"97,37 triệu/m²"
54323,nhiều hơn 10 phòng,1378 m²,"23,22 triệu/m²"
54324,4 phòng,50 m²,114 triệu/m²
54325,4 phòng,36 m²,"63,89 triệu/m²"
54326,4 phòng,59 m²,"31,36 triệu/m²"
54327,2 phòng,26 m²,"76,92 triệu/m²"
54328,4 phòng,27 m²,100 triệu/m²
54329,3 phòng,35 m²,"117,14 triệu/m²"
54330,3 phòng,42 m²,"83,33 triệu/m²"
54331,2 phòng,48 m²,"70,83 triệu/m²"
54332,4 phòng,30 m²,105 triệu/m²
54333,3 phòng,36 m²,"97,22 triệu/m²"
54334,6 phòng,44 m²,"86,36 triệu/m²"
54335,4 phòng,40 m²,"72,5 triệu/m²"
54336,6 phòng,50 m²,88 triệu/m²
54337,5 phòng,44 m²,"72,73 triệu/m²"
54338,6 phòng,50 m²,92 triệu/m²
54339,10 phòng,37 m²,"202,7 triệu/m²"
54340,3 phòng,79 m²,"63,29 triệu/m²"
54341,5 phòng,70 m²,"62,14 triệu/m²"
54342,4 phòng,31 m²,"84,84 triệu/m²"
54343,3 phòng,37 m²,"86,49 triệu/m²"
54344,3 phòng,69 m²,"63,04 triệu/m²"
54345,4 phòng,45 m²,"217,78 triệu/m²"
54346,2 phòng,35 m²,"77,14 triệu/m²"
54347,4 phòng,22 m²,"63,64 triệu/m²"
54348,3 phòng,66 m²,"53,79 triệu/m²"
54349,3 phòng,38 m²,"84,21 triệu/m²"
54350,2 phòng,42 m²,"71,43 triệu/m²"
54351,3 phòng,25 m²,100 triệu/m²
54352,7 phòng,45 m²,"173,33 triệu/m²"
54353,2 phòng,23 m²,"97,83 triệu/m²"
54354,3 phòng,42 m²,"157,14 triệu/m²"
54355,6 phòng,50 m²,93 triệu/m²
54356,nhiều hơn 10 phòng,160 m²,"115,63 triệu/m²"
54357,4 phòng,50 m²,122 triệu/m²
54358,4 phòng,37 m²,"90,54 triệu/m²"
54359,4 phòng,38 m²,"81,58 triệu/m²"
54360,4 phòng,31 m²,"93,55 triệu/m²"
54361,4 phòng,30 m²,"63,33 triệu/m²"
54362,5 phòng,30 m²,"141,67 triệu/m²"
54363,4 phòng,44 m²,"104,55 triệu/m²"
54364,4 phòng,49 m²,"75,51 triệu/m²"
54365,4 phòng,42 m²,"91,67 triệu/m²"
54366,8 phòng,50 m²,244 triệu/m²
54367,5 phòng,34 m²,"70,59 triệu/m²"
54368,3 phòng,43 m²,"87,21 triệu/m²"
54369,6 phòng,76 m²,"276,32 triệu/m²"
54370,3 phòng,30 m²,80 triệu/m²
54371,3 phòng,32 m²,"112,5 triệu/m²"
54372,6 phòng,50 m²,100 triệu/m²
54373,2 phòng,35 m²,"82,86 triệu/m²"
54374,3 phòng,32 m²,"55,63 triệu/m²"
54375,3 phòng,42 m²,50 triệu/m²
54376,4 phòng,47 m²,"80,85 triệu/m²"
54377,4 phòng,40 m²,80 triệu/m²
54378,4 phòng,41 m²,"48,78 triệu/m²"
54379,5 phòng,50 m²,134 triệu/m²
54380,4 phòng,50 m²,62 triệu/m²
54381,6 phòng,60 m²,"133,33 triệu/m²"
54382,6 phòng,50 m²,128 triệu/m²
54383,1 phòng,137 m²,138.686 đ/m²
54384,6 phòng,45 m²,"146,67 triệu/m²"
54385,4 phòng,45 m²,100 triệu/m²
54386,4 phòng,45 m²,"122,22 triệu/m²"
54387,2 phòng,38 m²,"98,68 triệu/m²"
54388,5 phòng,40 m²,"96,25 triệu/m²"
54389,3 phòng,56 m²,"77,68 triệu/m²"
54390,4 phòng,47 m²,"97,87 triệu/m²"
54391,3 phòng,30 m²,50 triệu/m²
54392,4 phòng,45 m²,"66,67 triệu/m²"
54393,8 phòng,58 m²,150 triệu/m²
54394,4 phòng,35 m²,"257,14 triệu/m²"
54395,3 phòng,40 m²,180 triệu/m²
54396,8 phòng,50 m²,240 triệu/m²
54397,2 phòng,23 m²,"104,35 triệu/m²"
54398,3 phòng,40 m²,"62,5 triệu/m²"
54399,6 phòng,53 m²,"62,26 triệu/m²"
54400,4 phòng,35 m²,"41,71 triệu/m²"
54401,6 phòng,40 m²,75 triệu/m²
54402,5 phòng,93 m²,"155,91 triệu/m²"
54403,3 phòng,30 m²,"98,33 triệu/m²"
54404,4 phòng,44 m²,125 triệu/m²
54405,4 phòng,48 m²,"77,08 triệu/m²"
54406,3 phòng,35 m²,"94,29 triệu/m²"
54407,3 phòng,30 m²,70 triệu/m²
54408,3 phòng,30 m²,90 triệu/m²
54409,5 phòng,35 m²,"88,57 triệu/m²"
54410,6 phòng,50 m²,174 triệu/m²
54411,6 phòng,45 m²,"102,22 triệu/m²"
54412,4 phòng,47 m²,"85,11 triệu/m²"
54413,3 phòng,32 m²,"59,38 triệu/m²"
54414,3 phòng,25 m²,104 triệu/m²
54415,2 phòng,25 m²,"1,04 triệu/m²"
54416,4 phòng,40 m²,"77,5 triệu/m²"
54417,5 phòng,32 m²,"271,88 triệu/m²"
54418,3 phòng,33 m²,"96,97 triệu/m²"
54419,4 phòng,30 m²,"94,33 triệu/m²"
54420,2 phòng,65 m²,"116,31 triệu/m²"
54421,5 phòng,50 m²,126 triệu/m²
54422,4 phòng,117 m²,"128,21 triệu/m²"
54423,4 phòng,52 m²,"83,65 triệu/m²"
54424,4 phòng,55 m²,"75,45 triệu/m²"
54425,6 phòng,63 m²,"58,73 triệu/m²"
54426,4 phòng,40 m²,140 triệu/m²
54427,4 phòng,40 m²,65 triệu/m²
54428,4 phòng,41 m²,"73,17 triệu/m²"
54429,6 phòng,45 m²,"126,67 triệu/m²"
54430,4 phòng,39 m²,"72,82 triệu/m²"
54431,3 phòng,90 m²,866.666 đ/m²
54432,3 phòng,40 m²,"92,5 triệu/m²"
54433,4 phòng,35 m²,"112,86 triệu/m²"
54434,4 phòng,30 m²,55 triệu/m²
54435,3 phòng,30 m²,70 triệu/m²
54436,4 phòng,39 m²,"87,18 triệu/m²"
54437,3 phòng,36 m²,"105,56 triệu/m²"
54438,4 phòng,49 m²,"77,55 triệu/m²"
54439,4 phòng,45 m²,"117,78 triệu/m²"
54440,3 phòng,25 m²,78 triệu/m²
54441,3 phòng,30 m²,"126,67 triệu/m²"
54442,4 phòng,40 m²,75 triệu/m²
54443,3 phòng,31 m²,"64,19 triệu/m²"
54444,4 phòng,44 m²,"77,27 triệu/m²"
54445,2 phòng,22 m²,"90,91 triệu/m²"
54446,4 phòng,45 m²,"111,11 triệu/m²"
54447,4 phòng,40 m²,70 triệu/m²
54448,4 phòng,35 m²,"105,71 triệu/m²"
54449,1 phòng,35 m²,"108,57 triệu/m²"
54450,3 phòng,38 m²,"105,26 triệu/m²"
54451,1 phòng,20 m²,60 triệu/m²
54452,3 phòng,36 m²,"86,11 triệu/m²"
54453,3 phòng,42 m²,"71,43 triệu/m²"
54454,4 phòng,40 m²,"92,5 triệu/m²"
54455,6 phòng,52 m²,75 triệu/m²
54456,5 phòng,45 m²,"122,22 triệu/m²"
54457,4 phòng,31 m²,"83,87 triệu/m²"
54458,4 phòng,43 m²,"116,28 triệu/m²"
54459,4 phòng,38 m²,"71,05 triệu/m²"
54460,4 phòng,36 m²,"77,78 triệu/m²"
54461,4 phòng,42 m²,"90,48 triệu/m²"
54462,3 phòng,12 m²,"112,5 triệu/m²"
54463,2 phòng,19 m²,"94,74 triệu/m²"
54464,3 phòng,39 m²,"128,21 triệu/m²"
54465,2 phòng,20 m²,120 triệu/m²
54466,3 phòng,25 m²,86 triệu/m²
54467,4 phòng,50 m²,76 triệu/m²
54468,3 phòng,32 m²,"68,75 triệu/m²"
54469,3 phòng,45 m²,"71,11 triệu/m²"
54470,6 phòng,45 m²,"235,56 triệu/m²"
54471,8 phòng,46 m²,"97,83 triệu/m²"
54472,3 phòng,22 m²,"104,55 triệu/m²"
54473,6 phòng,40 m²,95 triệu/m²
54474,5 phòng,51 m²,"68,63 triệu/m²"
54475,4 phòng,43 m²,"137,21 triệu/m²"
54476,3 phòng,36 m²,70 triệu/m²
54477,3 phòng,34 m²,"64,71 triệu/m²"
54478,3 phòng,30 m²,"103,33 triệu/m²"
54479,3 phòng,62 m²,"64,52 triệu/m²"
54480,3 phòng,41 m²,"121,95 triệu/m²"
54481,3 phòng,31 m²,"67,74 triệu/m²"
54482,3 phòng,42 m²,50 triệu/m²
54483,4 phòng,35 m²,"67,14 triệu/m²"
54484,6 phòng,40 m²,"168,75 triệu/m²"
54485,3 phòng,34 m²,"70,59 triệu/m²"
54486,3 phòng,30 m²,"196,67 triệu/m²"
54487,3 phòng,34 m²,"95,59 triệu/m²"
